,DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
3532,210,5V,SCC,"Deadhorse, AK",ATK,"Atqasuk, AK"
3533,210,WN,PIT,"Pittsburgh, PA",BWI,"Baltimore, MD"
3534,210,WN,BWI,"Baltimore, MD",PIT,"Pittsburgh, PA"
3535,210,FX,ESC,"Escanaba, MI",MSN,"Madison, WI"
3536,210,9X,LNS,"Lancaster, PA",PIT,"Pittsburgh, PA"
3537,210,9X,PIT,"Pittsburgh, PA",LNS,"Lancaster, PA"
3538,210,27Q,TEB,"Teterboro, NJ",DCA,"Washington, DC"
3539,210,AMQ,YIP,"Detroit, MI",PIT,"Pittsburgh, PA"
3540,211,OO,BGM,"Binghamton, NY",BTV,"Burlington, VT"
3541,211,OO,BHM,"Birmingham, AL",MEM,"Memphis, TN"
3542,211,09Q,SAT,"San Antonio, TX",ABI,"Abilene, TX"
3543,211,5X,ORF,"Norfolk, VA",ROA,"Roanoke, VA"
3544,211,09Q,MCN,"Macon, GA",CHS,"Charleston, SC"
3545,211,AMQ,ROA,"Roanoke, VA",ORF,"Norfolk, VA"
3546,211,AMQ,CMH,"Columbus, OH",LAN,"Lansing, MI"
3547,211,AMQ,LAN,"Lansing, MI",CMH,"Columbus, OH"
3548,211,04Q,TEB,"Teterboro, NJ",ACK,"Nantucket, MA"
3549,211,FX,MEM,"Memphis, TN",BHM,"Birmingham, AL"
3550,211,FX,MEM,"Memphis, TN",MLU,"Monroe, LA"
3551,211,9K,OLF,"Wolf Point, MT",BIL,"Billings, MT"
3552,211,9K,BIL,"Billings, MT",OLF,"Wolf Point, MT"
3553,211,G4,FSD,"Sioux Falls, SD",DSM,"Des Moines, IA"
3554,211,04Q,ACK,"Nantucket, MA",TEB,"Teterboro, NJ"
3555,211,FX,ABI,"Abilene, TX",SAT,"San Antonio, TX"
3556,211,H6,NUI,"Nuiqsut, AK",AIN,"Wainwright, AK"
3557,211,FX,DSM,"Des Moines, IA",FSD,"Sioux Falls, SD"
3558,212,YX,EWR,"Newark, NJ",IAD,"Washington, DC"
3559,212,YX,DEN,"Denver, CO",GJT,"Grand Junction, CO"
3560,212,YX,GJT,"Grand Junction, CO",DEN,"Denver, CO"
3561,212,YX,IAD,"Washington, DC",EWR,"Newark, NJ"
3562,212,YX,ALB,"Albany, NY",PHL,"Philadelphia, PA"
3563,212,5X,PHL,"Philadelphia, PA",ALB,"Albany, NY"
3564,212,OO,LBL,"Liberal, KS",PUB,"Pueblo, CO"
3565,212,OH,ORF,"Norfolk, VA",PHL,"Philadelphia, PA"
3566,212,OH,PHL,"Philadelphia, PA",ORF,"Norfolk, VA"
3567,212,1WQ,CLT,"Charlotte, NC",PDK,"Atlanta, GA"
3568,212,1WQ,PDK,"Atlanta, GA",CLT,"Charlotte, NC"
3569,212,5X,LRD,"Laredo, TX",AUS,"Austin, TX"
3570,212,L2,BET,"Bethel, AK",SVW,"Sparrevohn, AK"
3571,212,OO,PUB,"Pueblo, CO",LBL,"Liberal, KS"
3572,212,AN,FAT,"Fresno, CA",HHR,"Hawthorne, CA"
3573,212,AN,HHR,"Hawthorne, CA",FAT,"Fresno, CA"
3574,212,7S,MLL,"Marshall, AK",OME,"Nome, AK"
3575,212,8E,OME,"Nome, AK",MLL,"Marshall, AK"
3576,212,OH,BHM,"Birmingham, AL",JAN,"Jackson/Vicksburg, MS"
3577,213,9E,DCA,"Washington, DC",JFK,"New York, NY"
3578,213,9E,JFK,"New York, NY",DCA,"Washington, DC"
3579,213,QX,ALW,"Walla Walla, WA",SEA,"Seattle, WA"
3580,213,QX,SEA,"Seattle, WA",ALW,"Walla Walla, WA"
3581,213,OO,ORD,"Chicago, IL",CWA,"Mosinee, WI"
3582,213,OO,CWA,"Mosinee, WI",ORD,"Chicago, IL"
3583,213,OH,SAV,"Savannah, GA",CLT,"Charlotte, NC"
3584,213,OH,CLT,"Charlotte, NC",SAV,"Savannah, GA"
3585,213,09Q,FYV,"Fayetteville, AR",ICT,"Wichita, KS"
3586,213,7S,NUP,"Nunapitchuk, AK",UNK,"Unalakleet, AK"
3587,213,7S,WLK,"Selawik, AK",OME,"Nome, AK"
3588,213,MQ,ORD,"Chicago, IL",TOL,"Toledo, OH"
3589,213,MQ,TOL,"Toledo, OH",ORD,"Chicago, IL"
3590,213,GV,AKN,"King Salmon, AK",KPV,"Perryville, AK"
3591,213,GV,KPV,"Perryville, AK",AKN,"King Salmon, AK"
3592,213,AS,YAK,"Yakutat, AK",CDV,"Cordova, AK"
3593,213,AS,CDV,"Cordova, AK",YAK,"Yakutat, AK"
3594,213,AX,FLG,"Flagstaff, AZ",TUS,"Tucson, AZ"
3595,213,AX,COU,"Columbia, MO",CID,"Cedar Rapids/Iowa City, IA"
3596,213,DL,VPS,"Valparaiso, FL",BHM,"Birmingham, AL"
